ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4130,LaMarcus,Aldridge,C,SA,MIN,SA@MIN,8:00PM EST,29,33.6," "," "
nba.p.4136,Rudy,Gay,PF,SA,MIN,SA@MIN,8:00PM EST,16,23.4," "," "
nba.p.4296,Marco,Belinelli,SF,SA,MIN,SA@MIN,8:00PM EST,10,9.1," "," "
nba.p.4614,DeMar,DeRozan,SF,SA,MIN,SA@MIN,8:00PM EST,31,33.5," "," "
nba.p.4632,DeMarre,Carroll,SF,SA,MIN,SA@MIN,8:00PM EST,10,7.3," "," "
nba.p.4660,Patty,Mills,SG,SA,MIN,SA@MIN,8:00PM EST,10,18.1," "," "
nba.p.5472,Trey,Lyles,PF,SA,MIN,SA@MIN,8:00PM EST,10,16.7," "," "
nba.p.5640,Jakob,Poeltl,C,SA,MIN,SA@MIN,8:00PM EST,10,13.7," "," "
nba.p.5660,Dejounte,Murray,PG,SA,MIN,SA@MIN,8:00PM EST,25,31.0," "," "
nba.p.5726,Bryn,Forbes,SG,SA,MIN,SA@MIN,8:00PM EST,10,20.6," "," "
nba.p.5842,Derrick,White,PG,SA,MIN,SA@MIN,8:00PM EST,13,21.5," "," "
nba.p.6029,Lonnie,Walker IV,SG,SA,MIN,SA@MIN,8:00PM EST,10,2.5," "," "
nba.p.6060,Chimezie,Metu,PF,SA,MIN,SA@MIN,8:00PM EST,10,8.5," "," "
nba.p.6109,Drew,Eubanks,C,SA,MIN,SA@MIN,8:00PM EST,10,2.6," "," "
nba.p.6207,Luka,Samanic,PF,SA,MIN,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6217,Keldon,Johnson,SF,SA,MIN,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6237,Quinndary,Weatherspoon,SG,SA,MIN,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6327,Daulton,Hommes,SF,SA,MIN,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6328,Dedric,Lawson,SF,SA,MIN,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.4624,Jeff,Teague,PG,MIN,SA,SA@MIN,8:00PM EST,20,27.4,INJ," "
nba.p.5191,Gorgui,Dieng,C,MIN,SA,SA@MIN,8:00PM EST,10,17.7," "," "
nba.p.5253,Robert,Covington,PF,MIN,SA,SA@MIN,8:00PM EST,21,26.5," "," "
nba.p.5292,Andrew,Wiggins,SG,MIN,SA,SA@MIN,8:00PM EST,31,39.8," "," "
nba.p.5320,Noah,Vonleh,C,MIN,SA,SA@MIN,8:00PM EST,10,11.4," "," "
nba.p.5335,Shabazz,Napier,PG,MIN,SA,SA@MIN,8:00PM EST,10,21.6,INJ," "
nba.p.5432,Karl-Anthony,Towns,C,MIN,SA,SA@MIN,8:00PM EST,51,53.6," "," "
nba.p.5539,Treveon,Graham,SF,MIN,SA,SA@MIN,8:00PM EST,10,17.7," "," "
nba.p.5678,Jake,Layman,PF,MIN,SA,SA@MIN,8:00PM EST,10,17.9," "," "
nba.p.5851,Jordan,Bell,PF,MIN,SA,SA@MIN,8:00PM EST,10,11.8,INJ," "
nba.p.6031,Josh,Okogie,SG,MIN,SA,SA@MIN,8:00PM EST,12,21.6," "," "
nba.p.6059,Keita,Bates-Diop,SF,MIN,SA,SA@MIN,8:00PM EST,10,11.9," "," "
nba.p.6130,Jared,Terrell,PG,MIN,SA,SA@MIN,8:00PM EST,10,4.3," "," "
nba.p.6133,Jordan,McLaughlin,PG,MIN,SA,SA@MIN,8:00PM EST,10,7.6," "," "
nba.p.6168,Jarrett,Culver,SF,MIN,SA,SA@MIN,8:00PM EST,13,14.7," "," "
nba.p.6231,Jaylen,Nowell,SG,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6253,Naz,Reid,C,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6281,Kelan,Martin,SG,MIN,SA,SA@MIN,8:00PM EST,10,1.2," "," "
nba.p.6287,Lindell,Wigginton,PG,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6304,Jordan,Murphy,SG,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6340,Tyus,Battle,SG,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.6341,Barry,Brown Jr.,PG,MIN,SA,SA@MIN,8:00PM EST,10,0.0," "," "
nba.p.4152,Kyle,Lowry,PG,TOR,POR,TOR@POR,10:00PM EST,10,37.7,INJ," "
nba.p.4325,Marc,Gasol,C,TOR,POR,TOR@POR,10:00PM EST,17,18.6," "," "
nba.p.4486,Serge,Ibaka,C,TOR,POR,TOR@POR,10:00PM EST,10,26.4,INJ," "
nba.p.5468,Stanley,Johnson,SF,TOR,POR,TOR@POR,10:00PM EST,10,2.2," "," "
nba.p.5474,Cameron,Payne,SG,TOR,POR,TOR@POR,10:00PM EST,10,14.1," "," "
nba.p.5483,Rondae,Hollis-Jefferson,PF,TOR,POR,TOR@POR,10:00PM EST,11,15.6," "," "
nba.p.5506,Norman,Powell,SF,TOR,POR,TOR@POR,10:00PM EST,14,18.6," "," "
nba.p.5564,Malcolm,Miller,PF,TOR,POR,TOR@POR,10:00PM EST,10,2.4," "," "
nba.p.5658,Pascal,Siakam,PF,TOR,POR,TOR@POR,10:00PM EST,42,44.2," "," "
nba.p.5669,Patrick,McCaw,SG,TOR,POR,TOR@POR,10:00PM EST,10,12.8,INJ," "
nba.p.5727,Fred,VanVleet,SG,TOR,POR,TOR@POR,10:00PM EST,28,34.8," "," "
nba.p.5740,Isaiah,Taylor,PG,TOR,POR,TOR@POR,10:00PM EST,10,0.0," "," "
nba.p.5836,OG,Anunoby,SF,TOR,POR,TOR@POR,10:00PM EST,20,27.6,O," "
nba.p.5881,Devin,Robinson,SG,TOR,POR,TOR@POR,10:00PM EST,10,15.4," "," "
nba.p.5894,Chris,Boucher,C,TOR,POR,TOR@POR,10:00PM EST,13,13.7," "," "
nba.p.6081,Jordan,Loyd,PG,TOR,POR,TOR@POR,10:00PM EST,10,4.0," "," "
nba.p.6247,Dewan,Hernandez,C,TOR,POR,TOR@POR,10:00PM EST,10,0.0," "," "
nba.p.6264,Matt,Thomas,SG,TOR,POR,TOR@POR,10:00PM EST,10,7.3," "," "
nba.p.6280,Terence,Davis,SG,TOR,POR,TOR@POR,10:00PM EST,10,9.0," "," "
nba.p.6290,Oshae,Brissett,PF,TOR,POR,TOR@POR,10:00PM EST,10,0.0," "," "
nba.p.6291,Sagaba,Konate,SF,TOR,POR,TOR@POR,10:00PM EST,10,0.0,O," "
nba.p.6314,Shamorie,Ponds,PG,TOR,POR,TOR@POR,10:00PM EST,10,0.0," "," "
nba.p.3513,Pau,Gasol,C,POR,TOR,TOR@POR,10:00PM EST,10,13.6,INJ," "
nba.p.4371,Anthony,Tolliver,PF,POR,TOR,TOR@POR,10:00PM EST,10,9.6," "," "
nba.p.4764,Hassan,Whiteside,C,POR,TOR,TOR@POR,10:00PM EST,27,35.9," "," "
nba.p.5012,Damian,Lillard,PG,POR,TOR,TOR@POR,10:00PM EST,45,51.3," "," "
nba.p.5102,Kent,Bazemore,SG,POR,TOR,TOR@POR,10:00PM EST,10,20.6," "," "
